;DOY;Lake_Height;Discharge_in;Discharge_out;Prec;Air_T;Rad
40;40;429,139875;18,77975;14,90770833;16;7,4;13,04166667
41;41;429,1849167;21,002375;27,225625;0,5;2,416666667;29,54166667
42;42;429,1655;12,9385;24,455875;0;2,179166667;93,5
43;43;429,146625;11,28820833;20,47045833;18,3;1,670833333;26,08333333
44;44;429,1695417;27,82966667;18,238125;9,2;5,095833333;30
45;45;429,2952083;59,86458333;45,80341667;17,8;5,316666667;21,75
46;46;429,3489583;26,01141667;52,10608333;0,1;2,858333333;56,79166667
47;47;429,2795417;15,84183333;39,40591667;0;2,616666667;19,83333333
48;48;429,2242917;12,66616667;29,00779167;0;2,933333333;37,54166667
49;49;429,1880417;10,73375;24,31995833;1,6;4,2375;97,75
50;50;429,164125;9,753083333;20,14970833;2,2;3,366666667;61,58333333
51;51;429,14725;8,774833333;14,98758333;1,4;3,5875;26,58333333
52;52;429,1309583;8,535916667;18,492625;0;11,35416667;142,2083333
53;53;429,118125;9,271083333;13,979125;0;11,2125;88,79166667
54;54;429,1259167;10,008;11,659375;7,6;6,270833333;27,70833333
55;55;429,147;13,048875;12,52258333;8,5;0,233333333;41,20833333
56;56;429,1847917;17,902875;14,77183333;3,3;2,875;45
57;57;429,2167917;15,389375;19,19620833;0;1,895833333;89,79166667
58;58;429,2202917;11,43983333;17,37579167;0;2,604166667;132,0833333
59;59;429,216625;9,4525;16,23875;0;4,1125;67,5
60;60;429,2049167;8,221083333;13,71029167;0;3,625;18,04166667
61;61;429,2034583;7,285291667;11,25004167;0,4;4,7125;145,125
62;62;429,2070833;7,551875;10,35304167;5;4,570833333;29,20833333
63;63;429,2152083;10,355125;12,62166667;4,8;1,8;26,70833333
64;64;429,2211667;9,428875;14,01916667;15,9;2,275;32,33333333
65;65;429,299375;29,25870833;23,762375;19,8;2,683333333;47,16666667
66;66;429,3465833;20,28933333;34,99420833;0,2;2,1875;95,75
67;67;429,3137917;14,9245;30,66316667;3;1,2;122,4166667
68;68;429,286625;12,98695833;24,75633333;0;1,670833333;106,625
